ID	Plasmid	Strain
CP124100.1	chromosome	NE_5261
CP124098.1	lp17	NE_5261
CP124097.1	cp26	NE_5261
CP124099.1	lp54	NE_5261
CP019844.1	chromosome	PAli
CP019851.1	lp17	PAli
CP019845.1	cp26	PAli
CP019846.1	cp32-1	PAli
CP019847.1	cp32-3	PAli
CP019848.1	cp32-4	PAli
CP019849.1	cp32-5	PAli
CP019850.1	cp32-9	PAli
CP019852.1	lp36	PAli
CP019853.1	lp38	PAli
CP019854.1	lp54	PAli
CP019855.1	lp56	PAli
CP002312.1	chromosome	JD1
CP002316.1	cp26	JD1
CP002310.1	cp32-1+5	JD1
CP002323.1	cp32-10	JD1
CP002309.1	cp32-11	JD1
CP002321.1	cp32-12	JD1
CP002320.1	cp32-3	JD1
CP002307.1	cp32-6	JD1
CP002311.1	cp32-8	JD1
CP002322.1	cp32-9	JD1
CP002313.1	lp17	JD1
CP002308.1	lp25	JD1
CP002306.1	lp28-1	JD1
CP002314.1	lp28-3	JD1
CP002318.1	lp28-4	JD1
CP002317.1	lp28-5	JD1
CP002324.1	lp28-6	JD1
CP002319.1	lp28-7	JD1
CP002315.1	lp36	JD1
CP002325.1	lp38	JD1
CP001652.1	lp54	JD1
CP094597.1	chromosome	B31-5A4
CP094606.1	cp9	B31-5A4
CP094607.1	lp17	B31-5A4
CP094608.1	lp21	B31-5A4
CP094617.1	lp25	B31-5A4
CP094598.1	cp26	B31-5A4
CP094609.1	lp28-1	B31-5A4
CP094610.1	lp28-2	B31-5A4
CP094611.1	lp28-3	B31-5A4
CP094612.1	lp28-4	B31-5A4
CP094599.1	cp32-1	B31-5A4
CP094600.1	cp32-3	B31-5A4
CP094601.1	cp32-4	B31-5A4
CP094602.1	cp32-6	B31-5A4
CP094603.1	cp32-7	B31-5A4
CP094604.1	cp32-8	B31-5A4
CP094605.1	cp32-9	B31-5A4
CP094613.1	lp36	B31-5A4
CP094614.1	lp38	B31-5A4
CP094615.1	lp54	B31-5A4
CP094616.1	lp56	B31-5A4
CP031412.1	chromosome	MM1
CP031399.1	cp9	MM1
CP031400.1	lp17	MM1
CP031401.1	lp25	MM1
CP031398.1	cp26	MM1
CP031402.1	lp28-3	MM1
CP031403.1	lp28-4	MM1
CP031409.1	lp28-8	MM1
CP031408.1	cp32-1	MM1
CP031410.1	cp32-4	MM1
CP031411.1	cp32-5	MM1
CP031405.1	cp32-6	MM1
CP031407.1	cp32-7	MM1
CP031406.1	cp32-9	MM1
