#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CP124100.1	144360	144548	-	FMBKCJ_00700	7.3	9.5		SO:0001217, UniParc:UPI00018847F9, UniRef:UniRef100_A0A0H3C4A0, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
CP124100.1	157672	158055	+	FMBKCJ_00755	14.8	10.2		SO:0001217, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
CP124100.1	272628	273644	-	FMBKCJ_01290	39.3	4.2		RefSeq:WP_002657701.1, SO:0001217, UniParc:UPI00016B338F, UniRef:UniRef100_UPI00016B338F, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
CP124100.1	368431	368856	+	FMBKCJ_01765	16.5	9.7		SO:0001217, UniParc:UPI0000057451, UniRef:UniRef100_O51335, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
CP124100.1	416666	417082	+	FMBKCJ_01990	16.3	10.5		SO:0001217, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
CP124100.1	535154	535576	-	FMBKCJ_02605	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
CP124100.1	564050	565543	-	FMBKCJ_02750	59.2	5.9		SO:0001217, UniRef:UniRef50_D6RY37
CP124100.1	644622	644990	+	FMBKCJ_03095	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
CP124100.1	662452	662766	-	FMBKCJ_03170	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
CP124100.1	690045	690341	+	FMBKCJ_03270	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
CP124100.1	738983	739240	+	FMBKCJ_03520	10.0	10.6		SO:0001217, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
CP124100.1	739258	739521	+	FMBKCJ_03525	10.3	7.8		SO:0001217, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
CP124100.1	792189	793463	+	FMBKCJ_03780	48.6	4.5		RefSeq:WP_002657506.1, SO:0001217, UniParc:UPI00016B27E7, UniRef:UniRef100_UPI00016B27E7, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
CP124100.1	814716	815150	-	FMBKCJ_03900	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
CP124098.1	1426	1530	-	FMBKCJ_04275	3.8	6.5		SO:0001217, UniRef:UniRef50_A0A0H3C3H1, UniRef:UniRef90_A0A0H3C3H1
CP124098.1	2026	2382	+	FMBKCJ_04280	14.3	9.4		RefSeq:WP_010883928.1, SO:0001217, UniParc:UPI000005696E, UniRef:UniRef100_Q44728, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
CP124098.1	4218	4439	+	FMBKCJ_04290	8.6	5.7	PF05714.15|PFam54_60	PFAM:PF05714.15, RefSeq:WP_010258242.1, SO:0001217, UniParc:UPI00016B30E2, UniRef:UniRef100_G5IXH9, UniRef:UniRef50_G5IXH9, UniRef:UniRef90_G5IXH9
CP124098.1	5676	6359	+	FMBKCJ_04295	26.7	9.4		RefSeq:WP_010258240.1, SO:0001217, UniParc:UPI00016B30E1, UniRef:UniRef100_A0A7U4DIN3, UniRef:UniRef50_C0R8X6, UniRef:UniRef90_A0A5J6WFZ6
